(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  Checking signature for configuration file WMIEventHandler.dll
(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:38.016727] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:38.016727] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:38.016727] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:38.016727] [LM_DEBUG]  Checking version for configuration file WMIEventHandler.dll
(6604)[2018-08-24 10:18:38.016727] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:38.016727] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\WMIEventHandler.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:38.016727] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  GMSC: --> initSubService
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  WMIEventHandler
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  GMSC: <-- initSubService
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  GmsService: sending message to EventManager
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  CONF: <-- StartAceService
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  CONF: --> StartAceService
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  Checking signature for configuration file WinLogEventHandler.dll
(6604)[2018-08-24 10:18:38.020798] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:38.061971] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:38.061971] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:38.063770] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:38.063770] [LM_DEBUG]  Checking version for configuration file WinLogEventHandler.dll
(6604)[2018-08-24 10:18:38.064767] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
